va_code,code,name
"AVI","4116","Realización de operaciones desde una dirección IP o un dispositivo distinto a la actividad normal, sin justificación aparente."
"AVI","4117","Recepción de recursos de la cuenta de un tercero sin justificación aparente."
"AVI","4118","Envío de recursos a una cuenta a nombre de un tercero sin justificación aparente."
"AVI","4119","El cliente es una Persona Políticamente Expuesta identificado como de alto riesgo."
"AVI","4120","Hay indicios o certeza de que el cliente no está actuando en nombre propio y está tratando de ocultar la identidad del propietario real."
"AVI","4121","El cliente realiza operaciones fraccionadas por debajo del umbral para evitar que se presente el Aviso correspondiente."
"AVI","4122","El identificador de la transacción coincide con alguna lista nacional o internacional de cadenas identificadas con relación a actividades ilícitas (OFAC)."
"AVI","9999","Otra alerta."
"BLI","100","Sin alerta."
"BLI","2601","El cliente o usuario se rehúsa a proporcionar documentos personales que lo identifiquen."
"BLI","2602","El servicio otorgado es pagado por un tercero sin relación aparente con el cliente o usuario."
"BLI","2603","El cliente o usuario solicita múltiples servicios en diversos vehículos y/o inmuebles en un periodo muy corto de tiempo sin que su actividad lo justifique."
"BLI","2604","De acuerdo con medios informativos u otras fuentes de información pública, se tiene conocimiento o sospecha de que el cliente, un familiar o persona relacionada, está vinculado con actividades ilícitas o se encuentra bajo proceso de investigación."
"BLI","2605","Al cliente o usuario parece no importarle pagar precios superiores a los del mercado con la finalidad de que la operación se realice fuera de los parámetros establecidos."
"BLI","2606","El cliente o usuario no quiere ser relacionado con la contratación del servicio."
"BLI","2607","El servicio de blindaje no es acorde con la actividad económica o giro mercantil declarado por el cliente o usuario."
"BLI","2608","Hay indicios, o certeza, que las partes no están actuando en nombre propio y están tratando de ocultar la identidad del cliente o usuario real."
"BLI","2609","Uso de divisas en efectivo sin justificación alguna."
"BLI","2610","El cliente o usuario liquida la operación por medio de una transferencia proveniente de un país extranjero."
"BLI","2611","El cliente o usuario insiste en liquidar o pagar la operación en efectivo rebasando el umbral permitido en la Ley."
"BLI","2612","El cliente o usuario intenta sobornar, extorsionar o amenaza al vendedor  con el fin de realizar la operación fuera de los parámetros establecidos, o con la finalidad de evitar el envío del Aviso."
"BLI","2613","La información y documentación presentada por el cliente o usuario es inconsistente o de difícil verificación por parte del Sujeto Obligado."
"BLI","2614","El cliente o usuario contrata el servicio vía remota (ej. teléfono/internet) y da justificaciones para evitar ir a la agencia."
"BLI","2615","El cliente o usuario solicita el blindaje de bienes muebles o partes de inmuebles poco comunes o de poco valor."
"BLI","2616","El nombre del solicitante del servicio es diferente al nombre del dueño real del bien a blindarse."
"BLI","2617","El cliente o usuario pretende liquidar o pagar la operación con monedas virtuales."
"BLI","9999","Otra alerta."
"CHV","100","Sin alerta"
"CHV","301","El cliente o usuario realiza operaciones de compra o venta de cheques de viajero de forma periódica sin razón aparente"
"CHV","302","El cliente o usuario realiza la operación de compra o venta de cheques de viajero por monto elevados llevando a cabo su liquidando en efectivo"
"CHV","303","El cliente o usuario realiza diversas operación de compra o venta de cheques de viajero por montos elevados en un periodo corto de tiempo sin justificación aparente"
"CHV","304","El cliente o usuario se rehúsa a proporcionar documentos personales que lo identifiquen"
"CHV","305","Se conoce un historial criminal del cliente o usuario, de algún familiar directo o persona relacionada con él"
"CHV","306","De acuerdo con la ocupación del cliente o usuario, el monto de compra o venta de cheques de viajero parece estar fuera de su alcance"
"CHV","307","De acuerdo con los ingresos declarados por el cliente o usuario,  el monto de compra o venta de cheques de viajero parece estar fuera de su alcance"
"CHV","308","Hay indicios, o certeza, que las partes no están actuando en nombre propio y están tratando de ocultar la identidad del cliente o usuario real"
"CHV","309","Uso de divisas en efectivo en montos elevados o de poco uso sin que la ocupación del cliente o usuario lo justifique"
"CHV","310","El cliente o usuario intenta sobornar o extorsionar al vendedor con  el fin de realizar la operación de forma irregular"
"CHV","311","El cliente o usuario solicita condiciones especiales poco usuales en la realización de la operación"
"CHV","312","El cliente o usuario proporcionó datos falsos  o documentos apócrifos al realizar la operación"
"CHV","313","El cliente o usuario no quiere ser relacionado con la operación realizada"
"CHV","314","El cliente o usuario muestra fuerte interés en la realización de la transacción con rapidez, sin que exista causa justificada"
"CHV","315","La operación se liquida por medio de una transferencia internacional sin que la ocupación, perfil o nacionalidad del cliente o usuario lo justifique"
"CHV","316","La operación se liquida por medio de una transferencia internacional proveniente de un país considerado como paraíso fiscal o de alto riesgo"
"CHV","317","Operaciones con organizaciones sin fines de lucro, cuando las características de la transacción no coinciden con los objetivos de la entidad"
"CHV","9999","Otra alerta"
"DIN","100","Sin alerta."
"DIN","3901","La(s) persona(s) que participa(n) en la operación se rehúsa(n) a proporcionar documentos personales que lo(s) identifiquen."
"DIN","3902","El pago en preventa por el inmueble es realizado por un tercero sin relación aparente con el cliente."
"DIN","3903","La(s) persona(s) que participa(n) en la operación realiza(n) múltiples aportaciones en un periodo muy corto de tiempo sin razón aparente."
"DIN","3904","El cliente de la preventa no muestra tener interés en las características de la propiedad objeto de la operación, o en el precio y condiciones de la transacción."
"DIN","3905","De acuerdo con medios informativos u otras fuentes de información pública, se tiene conocimiento o sospecha de que el cliente, un familiar o persona relacionada, está vinculado con actividades ilícitas o se encuentra bajo proceso de investigación."
"DIN","3906","La(s) persona(s) que participa(n) en la operación no quiere(n) ser relacionada(s) con el desarrollo del inmueble."
"DIN","3907","La operación no es acorde con la actividad económica o giro mercantil declarado por la(s) persona(s) que participa(n) en la operación."
"DIN","3908","Hay indicios, o certeza, que las partes no están actuando en nombre propio y están tratando de ocultar la identidad de quien aporta los recursos."
"DIN","3909","Uso de divisas en efectivo sin justificación alguna."
"DIN","3910","Se conoce que las aportaciones se realizan por medio de transferencia(s) proveniente(s) de un país extranjero."
"DIN","3911","La(s) persona(s) que participa(n) en la operación insiste(n) en realizar sus aportaciones en efectivo por montos elevados."
"DIN","3912","La información y documentación presentada por la(s) persona(s) que participa(n) en la operación es inconsistente o de difícil verificación por parte del Sujeto Obligado."
"DIN","3913","La(s) persona(s) que participa(n) en la operación intenta(n) sobornar, extorsionar o amenaza(n) con el fin de realizar la operación fuera de los parámetros establecidos, o con la finalidad de evitar el envío del Aviso."
"DIN","9999","Otra alerta."
"DON","100","Sin alerta."
"DON","2701","El donante condiciona o pretende condicionar el otorgamiento del donativo a la imposición de ciertas condiciones poco usuales para el uso del mismo."
"DON","2702","El donante otorga uno o varios donativos por un monto elevado sin mostrar interés en el objeto de la organización."
"DON","2703","El donante intenta o realiza un donativo en especie de bienes poco usuales o sin relación con el objeto de la organización."
"DON","2704","Hay indicios, o certeza, de que los bienes donados provienen de actividades ilícitas."
"DON","2705","El donante se rehúsa a proporcionar documentos personales que lo identifiquen."
"DON","2706","De acuerdo con medios informativos u otras fuentes de información pública, se tiene conocimiento o sospecha de que el cliente, un familiar o persona relacionada, está vinculado con actividades ilícitas o se encuentra bajo proceso de investigación."
"DON","2707","El donante no quiere ser relacionado con el donativo."
"DON","2708","El monto donado no es acorde con la actividad económica o giro mercantil del donante."
"DON","2709","Hay indicios, o certeza, que las partes no están actuando en nombre propio y están tratando de ocultar la identidad del donante real."
"DON","2710","El donativo se realiza en efectivo por un monto elevado."
"DON","2711","El donativo se realiza usando divisas en efectivo en montos elevados"
"DON","2712","El donativo se realiza por medio de una transferencia proveniente de un país extranjero."
"DON","2713","La información y documentación presentada por el donante es inconsistente o de difícil verificación por parte del Sujeto Obligado."
"DON","2714","El donante realiza un elevado número de donaciones en efectivo y en cantidades elevadas mensualmente, o en periodos identificablemente cortos."
"DON","2715","El donante intenta sobornar, extorsionar o amenaza a la institución con el fin de realizar la donación fuera de los parámetros establecidos, o con la finalidad de evitar el envío del Aviso."
"DON","9999","Otra alerta."
"FEP","100","Sin alerta."
"FEP","3501","Los sujetos o partes involucradas se rehúsan a proporcionar documentos personales que los identifiquen."
"FEP","3502","La operación no es acorde con la actividad económica o giro mercantil declarado por el cliente."
"FEP","3503","Hay indicios, o certeza, que los sujetos o partes involucradas no están actuando en nombre propio y están tratando de ocultar la identidad del beneficiario o controlador real."
"FEP","3504","La información y documentación presentada por las partes involucradas es inconsistente o de difícil verificación por parte del Sujeto Obligado."
"FEP","3505","Los sujetos o partes involucradas intentan sobornar, extorsionar o amenazan con el fin de realizar la operación fuera de los parámetros establecidos, o con la finalidad de evitar el envío del Aviso."
"FEP","3506","De acuerdo con medios informativos u otras fuentes de información pública, se tiene conocimiento o sospecha de que el cliente, un familiar o persona relacionada, está vinculado con actividades ilícitas o se encuentra bajo proceso de investigación."
"FEP","3507","El cliente o partes involucradas no quiere(n) ser relacionado(s) con la operación realizada."
"FEP","3508","Los sujetos o partes involucradas realizan múltiples operaciones en un periodo muy corto de tiempo sin justificación aparente."
"FEP","3509","Los sujetos o partes involucradas hacen uso de un intermediario (ejemplo: apoderado o representante legal) para realizar la operación o acto sin que exista una causa que lo justifique."
"FEP","3510","El cliente desea liquidar la operación con monedas virtuales."
"FEP","3511","Se constituye una Sociedad por Acciones Simplificadas (SAS), en la que no hay forma de corroborar la identidad de los accionistas."
"FEP","3512","Hay indicios, o certeza de que una de las partes involucradas está siendo presionada para que realice la operación."
"FEP","3513","Hay indicios de que existe suplantación de identidad de alguna de las partes involucradas en la operación."
"FEP","3514","El cliente realiza múltiples operaciones de constitución de personas morales en un periodo corto de tiempo."
"FEP","3515","Se tiene conocimiento de que otro notario se negó a realizar la operación."
"FEP","3516","El pago de la operación es realizado por un tercero sin relación aparente con el cliente o alguna de las partes involucradas."
"FEP","3517","El cliente (personas físicas y  morales), declara una ocupación o actividad distinta a la que aparece en su Cédula de Identificación Fiscal."
"FEP","9999","Otra alerta."
"FES","100","Sin alerta"
"FES","1250","Uno o más de los sujetos o partes involucradas se rehúsan a proporcionar documentos personales que los identifiquen"
"FES","1251","De acuerdo con la ocupación de uno o más de los sujetos o partes involucradas, la operación o acto parece estar fuera de su alcance"
"FES","1252","De acuerdo con los ingresos declarados por uno o más de los sujetos o partes involucradas, la operación o acto parece estar fuera de su alcance"
"FES","1253","Hay indicios, o certeza, que uno o más de los sujetos o partes involucradas no están actuando en nombre propio y están tratando de ocultar la identidad del beneficiario o controlador real"
"FES","1254","Uno o más de los sujetos o partes involucradas muestran fuerte interés en la realización de la operación o acto con rapidez, sin que exista causa justificada"
"FES","1255","Uno o más de los sujetos o partes involucradas proporcionaron datos falsos  o documentos apócrifos al realizar la operación o acto"
"FES","1256","Uno o más de los sujetos o partes involucradas intentan sobornar o extorsionar a alguna autoridad con  el fin de realizar algún acto de forma irregular."
"FES","1257","Uno o más de los sujetos o partes involucradas solicitan condiciones especiales poco usuales en la realización de la operación o acto"
"FES","1258","Operaciones con organizaciones sin fines de lucro, cuando las características de la transacción no coinciden con los objetivos de la entidad"
"FES","1259","Se conoce un historial criminal de uno o más de los sujetos o partes involucradas, de algún familiar directo o persona relacionada con ellos"
"FES","1260","Uno o más de los sujetos o partes involucradas hace uso de un intermediario para realizar la operación o acto sin una razón lógica, sin que exista causa justificada"
"FES","1261","Uno o más de los sujetos o partes involucradas realizan múltiples operaciones en un periodo corto de tiempo"
"FES","1262","Uno o más de los sujetos o partes involucradas no muestra tener interés en las características de la propiedad objeto de la operación, en el valor de mercado del inmueble y/o condiciones de la transacción (sólo aplica para Constitución o Transmisión de derechos reales sobre inmuebles)"
"FES","1263","La operación se lleva acabo a un valor significativamente diferente (mucho mayor o mucho menor) a partir del valor real de la propiedad o a los valores de mercado (sólo aplica para Constitución o Transmisión de derechos reales sobre inmuebles)"
"FES","1264","Uno o más de los sujetos o partes involucradas realizan varias operaciones en un periodo corto de tiempo en las que se desconoce el origen de los objetos empeñados (sólo aplica para Otorgamiento de contratos de mutuo o crédito con o sin garantía)"
"FES","1265","La operación de mutuo o crédito se lleva a cabo por medio de una garantía poco usual o que no corresponde con la actividad o ingresos de uno o más de los sujetos o partes involucradas (sólo aplica para Otorgamiento de contratos de mutuo o crédito con o sin garantía)"
"FES","1266","Hay indicios, o certeza, de que las garantías o los bienes empeñados son robados o provienen de una actividad ilícita (sólo aplica para Otorgamiento de contratos de mutuo o crédito con o sin garantía)"
"FES","1267","Uno o más de los sujetos o partes involucradas o personas relacionadas con él realizan múltiples operaciones en un periodo muy corto sin razón aparente (sólo aplica para Otorgamiento de contratos de mutuo o crédito con o sin garantía)"
"FES","1268","Uno o más de los sujetos o partes involucradas no muestran tener interés en las características y condiciones del crédito otorgado (sólo aplica para Otorgamiento de contratos de mutuo o crédito con o sin garantía)"
"FES","1269","Uno o más de los sujetos o partes involucradas realizan operaciones de manera periódica en las que se liquida el total del monto del préstamo otorgado en efectivo al poco tiempo de haberlo adquirido (sólo aplica para Otorgamiento de contratos de mutuo o crédito con o sin garantía)"
"FES","9999","Otra alerta"
"INM","100","Sin alerta."
"INM","3101","El cliente se rehúsa a proporcionar documentos personales que lo identifiquen."
"INM","3102","El pago por el inmueble es realizado por un tercero sin relación aparente con el cliente."
"INM","3103","El cliente o personas relacionadas con él realizan múltiples operaciones en un periodo muy corto sin razón aparente."
"INM","3104","Al cliente parece no importarle pagar precios superiores a los del mercado con la finalidad de que la operación se realice fuera de los parámetros establecidos."
"INM","3105","De acuerdo con medios informativos u otras fuentes de información pública, se tiene conocimiento o sospecha de que el cliente, un familiar o persona relacionada, está vinculado con actividades ilícitas o se encuentra bajo proceso de investigación."
"INM","3106","El cliente no quiere ser relacionado con la compra del inmueble."
"INM","3107","La operación no es acorde con la actividad económica o giro mercantil declarado por el cliente."
"INM","3108","El cliente solicita que se realice la operación por medio de un contrato privado, donde no hay intención de registrarlo ante notario, o cuando esta intención se expresa, no se lleva a cabo finalmente."
"INM","3109","Transacciones sucesivas de compra y venta de la misma propiedad en un periodo corto de tiempo, con cambios injustificados del valor de la misma"
"INM","3110","La operación se lleva acabo a un valor de venta o compra significativamente diferente (mucho mayor o mucho menor) a partir del valor real de la propiedad o a los valores de mercado."
"INM","3111","Hay indicios, o certeza, que las partes no están actuando en nombre propio y están tratando de ocultar la identidad del cliente real."
"INM","3112","Uso de divisas en efectivo sin justificación alguna."
"INM","3113","El cliente liquida la operación por medio de una transferencia proveniente de un país extranjero."
"INM","3114","El cliente insiste en liquidar o pagar la operación en efectivo rebasando el umbral permitido en la Ley."
"INM","3115","El cliente intenta sobornar, extorsionar o amenaza al vendedor con el fin de realizar la operación fuera de los parámetros establecidos, o con la finalidad de evitar el envío del Aviso."
"INM","3116","La información y documentación presentada por el cliente es inconsistente o de difícil verificación por parte del Sujeto Obligado."
"INM","3117","Se tiene sospecha de que algunos intermediarios dentro del sistema financiero están coludidos con el cliente."
"INM","3118","El cliente es un Fideicomiso y se niega a proporcionar información sobre el beneficiario controlador."
"INM","3119","El cliente opera en grupos sin que exista algún parentesco o relación entre ellos."
"INM","3120","El cliente pretende pagar o liquidar la operación con monedas virtuales."
"INM","9999","Otra alerta."
"JYS","100","Sin alerta."
"JYS","2101","El cliente o usuario introduce fondos en las máquinas de juego y de inmediato pide la devolución de los mismos en forma de créditos."
"JYS","2102","El cliente o usuario solicita el pago del crédito de una máquina de juego sin haber ganado un premio."
"JYS","2103","El cliente o usuario solicita los pagos del crédito de diversas máquinas por un monto elevado."
"JYS","2104","Se observa un cambio drástico en el patrón de gasto o apuesta del cliente o usuario."
"JYS","2105","El cliente o usuario realiza apuestas en juegos en los que cubre ambos lados de la apuesta de manera recurrente."
"JYS","2106","El cliente o usuario compra fichas o crédito para jugar y solicita el reintegro después de haber tenido poca actividad de juego."
"JYS","2107","El cliente o usuario realiza múltiples retiros de crédito o solicitudes de reintegro de fichas en el mismo día."
"JYS","2108","El cliente o usuario realiza la compra de crédito o fichas en efectivo y solicita el reintegro por medio de un cheque o transferencia."
"JYS","2109","Varios clientes o usuarios solicitan el pago del crédito obtenido por medio de una transferencia o cheque a nombre de un mismo sujeto."
"JYS","2110","El cliente o usuario solicita el pago del crédito o premio por medio de varios cheques al portador."
"JYS","2111","El cliente o usuario realiza operaciones frecuentes por debajo del umbral de identificación o aviso."
"JYS","2112","El cliente o usuario solicita que el pago de un premio o fichas sea realizado por medio de una combinación de efectivo, cheques o transferencias."
"JYS","2113","El cliente o usuario frecuentemente realiza reclamaciones de premios de alto valor ganados por sorteos."
"JYS","2114","El cliente o usuario solicita el pago de premios o fichas sin que se tenga registro de que dicho cliente o usuario haya comprado billetes de lotería, crédito o fichas para jugar."
"JYS","2115","El cliente o usuario se rehúsa a proporcionar documentos personales que lo identifiquen."
"JYS","2116","De acuerdo con medios informativos u otras fuentes de información pública, se tiene conocimiento o sospecha de que el cliente, un familiar o persona relacionada, está vinculado con actividades ilícitas o se encuentra bajo proceso de investigación."
"JYS","2117","La operación no es acorde con la actividad económica o giro mercantil declarado por el cliente o usuario."
"JYS","2118","Hay indicios, o certeza, que el cliente o usuario no está actuando en nombre propio y está tratando de ocultar la identidad del cliente o usuario real."
"JYS","2119","Uso de divisas en efectivo sin justificación alguna."
"JYS","2120","El cliente o usuario liquida la operación por medio de una transferencia proveniente de un país extranjero."
"JYS","2121","El cliente o usuario insiste en liquidar o pagar la operación en efectivo rebasando el umbral permitido en la Ley."
"JYS","2122","El cliente o usuario intenta sobornar, extorsionar o amenaza con el fin de realizar la operación fuera de los parámetros establecidos, o con la finalidad de evitar el envío del Aviso."
"JYS","2123","La información y documentación presentada por el cliente o usuario es inconsistente o de difícil verificación por parte del Sujeto Obligado."
"JYS","2124","El cliente o usuario no quiere ser relacionado con la operación realizada."
"JYS","2125","El cliente o usuario o personas relacionadas con él realizan múltiples operaciones en un periodo muy corto sin razón aparente."
"JYS","2126","El cliente o usuario solicita que el pago de los premios sea realizado a la cuenta bancaria de una tercera persona."
"JYS","2127","La operación la paga un tercero sin relación aparente con el cliente o usuario."
"JYS","9999","Otra alerta."
"MJR","100","Sin alerta."
"MJR","2901","El cliente o usuario se rehúsa a proporcionar documentos personales que lo identifiquen."
"MJR","2902","De acuerdo con medios informativos u otras fuentes de información pública, se tiene conocimiento o sospecha de que el cliente, un familiar o persona relacionada, está vinculado con actividades ilícitas o se encuentra bajo proceso de investigación."
"MJR","2903","El cliente o usuario compra o vende grandes cantidades de metales preciosos, piedras preciosas, joyas y/o relojes sin justificar su procedencia."
"MJR","2904","El cliente o usuario o personas relacionadas con él realizan diversas operaciones de compra o venta de grandes cantidades de metales preciosas, piedras preciosas, joyas y/o relojes en un periodo muy corto de tiempo sin justificación aparente."
"MJR","2905","El cliente o usuario realiza compras indiscriminadas de mercancía (sin importar tamaño, color, precio) de metales preciosos, piedras preciosas, joyas y/o relojes, sin que estén asociadas a su actividad."
"MJR","2906","El cliente o usuario no quiere ser relacionado con la operación realizada."
"MJR","2907","La operación no es acorde con la actividad económica o giro mercantil declarado por el cliente o usuario."
"MJR","2908","Hay indicios, o certeza, que las partes no están actuando en nombre propio y están tratando de ocultar la identidad del cliente o usuario real."
"MJR","2909","Uso de divisas en efectivo sin justificación alguna."
"MJR","2910","El cliente o usuario liquida la operación por medio de una transferencia proveniente de un país extranjero."
"MJR","2911","El cliente o usuario insiste en liquidar o pagar la operación en efectivo rebasando el umbral permitido en la Ley."
"MJR","2912","El cliente o usuario intenta sobornar, extorsionar o amenaza al vendedor con el fin de realizar la operación fuera de los parámetros establecidos, o con la finalidad de evitar el envío del Aviso."
"MJR","2913","La información y documentación presentada por el cliente o usuario es inconsistente o de difícil verificación por parte del Sujeto Obligado."
"MJR","2914","Se conoce que el cliente o usuario recolecta metales preciosos (ej. oro) y después lo funde con la intención de venderlo con una calidad diferente a la declarada."
"MJR","2915","Exporta e importa joyería, relojes, metales y piedras preciosas de países riesgosos sin que haya justificación aparente."
"MJR","2916","El cliente o usuario vende pedacería de metales preciosos que podría provenir de actividades ilícitas como el robo."
"MJR","2917","El cliente o usuario compra pedacería de metales preciosos por cantidades bajas a precios que exceden los de mercado o viceversa."
"MJR","2918","El cliente o usuario liquida la mayoría de sus operaciones con otras divisas, sin que su actividad lo justifique."
"MJR","2919","La operación se liquida a través de cheques de caja con la intención de ocultar el origen de los recursos."
"MJR","2920","Para liquidar sus operaciones el cliente o usuario utiliza recursos de diferentes cuentas, instituciones financieras, denominaciones o con diversos instrumentos monetarios, con la intención de dificultar el rastreo de los recursos."
"MJR","2921","El cliente o usuario opera en grupos, sin que exista algún parentesco entre ellos."
"MJR","2922","El cliente o usuario solicita que el pago le sea depositado en diferentes cuentas sin razón aparente."
"MJR","2923","El cliente o usuario hace uso de servicios de paquetería para entregar la mercancía vendida."
"MJR","2924","Al cliente o usuario parece no importarle pagar precios superiores a los del mercado con la finalidad de que la operación se realice fuera de los parámetros establecidos."
"MJR","2925","La operación la paga un tercero sin relación aparente con el cliente o usuario."
"MJR","9999","Otra alerta."
"MPC","100","Sin alerta."
"MPC","2801","El cliente o usuario se rehúsa a proporcionar documentos personales que lo identifiquen."
"MPC","2802","El cliente o usuario realiza varias operaciones en un periodo corto de tiempo en las que se desconoce el origen de los objetos empeñados."
"MPC","2803","La operación de mutuo o crédito se lleva a cabo por medio de una garantía poco usual o que no corresponde con la actividad o ingresos del cliente o usuario."
"MPC","2804","Hay indicios, o certeza, de que los bienes empeñados son robados o provienen de una actividad ilícita."
"MPC","2805","El cliente o usuario o personas relacionadas con él realizan múltiples operaciones en un periodo muy corto sin razón aparente."
"MPC","2806","El cliente o usuario realiza operaciones de manera periódica en las que se liquida el total del monto del préstamo otorgado en efectivo al poco tiempo de haberlo adquirido."
"MPC","2807","De acuerdo con medios informativos u otras fuentes de información pública, se tiene conocimiento o sospecha de que el cliente, un familiar o persona relacionada, está vinculado con actividades ilícitas o se encuentra bajo proceso de investigación."
"MPC","2808","El cliente o usuario no quiere ser relacionado con la operación realizada."
"MPC","2809","Hay indicios, o certeza, que las partes no están actuando en nombre propio y están tratando de ocultar la identidad del cliente o usuario real."
"MPC","2810","El cliente o usuario intenta sobornar, extorsionar o amenaza al vendedor con el fin de realizar la operación fuera de los parámetros establecidos, o con la finalidad de evitar el envío del Aviso."
"MPC","2811","La información y documentación presentada por el cliente o usuario es inconsistente o de difícil verificación por parte del Sujeto Obligado."
"MPC","2812","Hay indicios o certeza de que los recursos solicitados se están utilizando para fines distintos a los declarados por el cliente o usuario."
"MPC","2813","El cliente o usuario registra domicilios distintos cada vez que solicita un préstamo o crédito."
"MPC","2814","El cliente pretende liquidar la operación con monedas virtuales."
"MPC","9999","Otra alerta."
"OBA","100","Sin alerta."
"OBA","3301","El cliente se rehúsa a proporcionar documentos personales que lo identifiquen."
"OBA","3302","El cliente no muestra tener interés en las características de la obra, el autor de la misma o en el precio y condiciones de la transacción."
"OBA","3303","De acuerdo con medios informativos u otras fuentes de información pública, se tiene conocimiento o sospecha de que el cliente, un familiar o persona relacionada, está vinculado con actividades ilícitas o se encuentra bajo proceso de investigación."
"OBA","3304","El cliente no quiere ser relacionado con la compra de la obra."
"OBA","3305","La operación no es acorde con la actividad económica o giro mercantil declarado por el cliente."
"OBA","3306","Transacciones sucesivas de compra y venta de la misma obra en un periodo corto de tiempo, con cambios injustificados del valor de la misma."
"OBA","3307","La operación se lleva acabo a un valor de venta o compra significativamente diferente (mucho mayor o mucho menor) a partir del precio estimado de la obra o a los valores de mercado."
"OBA","3308","Hay indicios, o certeza, que las partes no están actuando en nombre propio y están tratando de ocultar la identidad del cliente real."
"OBA","3309","El cliente realiza múltiples compras liquidándolas en efectivo por montos elevados sin justificación aparente."
"OBA","3310","Uso de divisas en efectivo sin justificación alguna."
